社員コード,氏名,事業所,部署,生年月日,入職日,管理職
C1-001,山田 真由美,クリニック1,看護,1975-03-15,2002-04-01,はい
C1-002,鈴木 恵子,クリニック1,看護,1982-07-22,2008-04-01,いいえ
C1-003,佐藤 陽子,クリニック1,看護,1988-11-03,2012-04-01,いいえ
C1-004,高橋 美咲,クリニック1,看護,1990-05-18,2014-04-01,いいえ
C1-005,渡辺 千尋,クリニック1,看護,1993-01-07,2016-04-01,いいえ
C1-006,伊藤 沙織,クリニック1,看護,1996-08-25,2020-04-01,いいえ
C1-007,中村 結衣,クリニック1,看護,1999-12-10,2023-04-01,いいえ
C1-008,川上 美穂,クリニック1,看護,1986-04-17,2010-04-01,いいえ
C1-009,土屋 紗希,クリニック1,看護,1991-09-02,2015-04-01,いいえ
C1-010,松岡 遥,クリニック1,看護,1994-02-20,2018-04-01,いいえ
C1-011,水野 愛,クリニック1,看護,1997-06-08,2021-04-01,いいえ
C1-012,白石 菜々子,クリニック1,看護,2001-03-28,2025-04-01,いいえ
C1-013,小林 健一,クリニック1,リハビリ,1978-06-08,2004-04-01,はい
C1-014,加藤 大輔,クリニック1,リハビリ,1985-02-14,2009-04-01,いいえ
C1-015,吉田 裕也,クリニック1,リハビリ,1989-09-20,2013-04-01,いいえ
C1-016,松本 翔太,クリニック1,リハビリ,1992-04-05,2016-04-01,いいえ
C1-017,井上 麻衣,クリニック1,リハビリ,1995-10-30,2019-04-01,いいえ
C1-018,木村 春香,クリニック1,リハビリ,1998-03-12,2022-04-01,いいえ
C1-019,堀 康平,クリニック1,リハビリ,1987-07-25,2011-04-01,いいえ
C1-020,市川 祐介,クリニック1,リハビリ,1993-12-06,2017-04-01,いいえ
C1-021,浅野 真希,クリニック1,リハビリ,1996-05-19,2020-04-01,いいえ
C1-022,谷口 拓也,クリニック1,リハビリ,2000-08-14,2024-04-01,いいえ
C1-023,林 和子,クリニック1,医事課,1972-08-19,2000-04-01,はい
C1-024,斎藤 典子,クリニック1,医事課,1984-12-01,2007-04-01,いいえ
C1-025,清水 美香,クリニック1,医事課,1987-06-28,2011-04-01,いいえ
C1-026,山崎 彩,クリニック1,医事課,1991-03-16,2015-04-01,いいえ
C1-027,森 奈々,クリニック1,医事課,1994-07-09,2018-04-01,いいえ
C1-028,池田 葉月,クリニック1,医事課,2000-11-23,2024-04-01,いいえ
C1-029,橋本 誠,クリニック1,放射線技師,1976-01-25,2003-04-01,はい
C1-030,阿部 雄二,クリニック1,放射線技師,1983-05-11,2008-10-01,いいえ
C1-031,石川 直樹,クリニック1,放射線技師,1988-10-07,2013-04-01,いいえ
C1-032,前田 瞳,クリニック1,放射線技師,1992-02-28,2016-04-01,いいえ
C1-033,藤田 康平,クリニック1,放射線技師,1995-09-14,2019-04-01,いいえ
C1-034,小川 美月,クリニック1,放射線技師,1999-04-03,2023-04-01,いいえ
C2-001,岡田 裕子,クリニック2,看護,1974-11-05,2001-04-01,はい
C2-002,後藤 智子,クリニック2,看護,1981-03-30,2006-04-01,いいえ
C2-003,長谷川 綾,クリニック2,看護,1986-08-17,2010-04-01,いいえ
C2-004,村上 里美,クリニック2,看護,1990-01-22,2014-04-01,いいえ
C2-005,近藤 詩織,クリニック2,看護,1993-06-09,2017-04-01,いいえ
C2-006,石井 遥,クリニック2,看護,1997-12-04,2021-04-01,いいえ
C2-007,坂本 菜々子,クリニック2,看護,2000-05-19,2024-04-01,いいえ
C2-008,吉川 理恵,クリニック2,看護,1985-10-11,2009-04-01,いいえ
C2-009,奥村 由美,クリニック2,看護,1992-03-26,2016-04-01,いいえ
C2-010,桜井 沙織,クリニック2,看護,1998-07-05,2022-04-01,いいえ
C2-011,富田 瞳,クリニック2,看護,2002-01-18,2025-04-01,いいえ
C2-012,遠藤 隆,クリニック2,リハビリ,1977-04-12,2003-04-01,はい
C2-013,青木 拓也,クリニック2,リハビリ,1984-09-27,2009-04-01,いいえ
C2-014,藤井 達也,クリニック2,リハビリ,1989-02-08,2013-04-01,いいえ
C2-015,西村 慎一,クリニック2,リハビリ,1991-07-15,2015-10-01,いいえ
C2-016,福田 真希,クリニック2,リハビリ,1994-11-20,2018-04-01,いいえ
C2-017,太田 祐介,クリニック2,リハビリ,1998-06-01,2022-04-01,いいえ
C2-018,栗原 健太,クリニック2,リハビリ,1986-01-30,2010-04-01,いいえ
C2-019,矢野 雅也,クリニック2,リハビリ,1993-08-15,2017-04-01,いいえ
C2-020,五十嵐 学,クリニック2,リハビリ,1997-04-22,2021-04-01,いいえ
C2-021,菅原 翔太,クリニック2,リハビリ,2001-10-09,2025-04-01,いいえ
C2-022,三浦 幸子,クリニック2,医事課,1973-09-08,2001-04-01,はい
C2-023,岡本 明美,クリニック2,医事課,1983-01-14,2007-04-01,いいえ
C2-024,松田 優子,クリニック2,医事課,1988-05-26,2012-04-01,いいえ
C2-025,中島 友美,クリニック2,医事課,1991-10-03,2015-04-01,いいえ
C2-026,中野 早紀,クリニック2,医事課,1995-03-18,2019-04-01,いいえ
C2-027,原田 千夏,クリニック2,医事課,2001-08-07,2025-04-01,いいえ
C2-028,小野 浩,クリニック2,放射線技師,1975-12-20,2002-04-01,はい
C2-029,田村 正人,クリニック2,放射線技師,1982-04-06,2007-10-01,いいえ
C2-030,竹内 亮,クリニック2,放射線技師,1987-07-23,2012-04-01,いいえ
C2-031,金子 香織,クリニック2,放射線技師,1992-11-11,2016-04-01,いいえ
C2-032,和田 光,クリニック2,放射線技師,1996-02-15,2020-04-01,いいえ
C2-033,中山 桃子,クリニック2,放射線技師,2000-09-28,2024-04-01,いいえ
N1-001,石田 京子,訪問看護ステーション1,訪問看護,1971-05-03,1999-04-01,はい
N1-002,上田 直美,訪問看護ステーション1,訪問看護,1979-10-18,2005-04-01,いいえ
N1-003,森田 久美子,訪問看護ステーション1,訪問看護,1983-02-07,2008-04-01,いいえ
N1-004,原 理恵,訪問看護ステーション1,訪問看護,1986-06-25,2010-04-01,いいえ
N1-005,柴田 美紀,訪問看護ステーション1,訪問看護,1989-12-14,2013-04-01,いいえ
N1-006,酒井 舞,訪問看護ステーション1,訪問看護,1992-04-30,2016-04-01,いいえ
N1-007,工藤 志保,訪問看護ステーション1,訪問看護,1994-08-08,2018-04-01,いいえ
N1-008,横山 愛,訪問看護ステーション1,訪問看護,1997-01-22,2020-04-01,いいえ
N1-009,宮崎 紗希,訪問看護ステーション1,訪問看護,1999-06-16,2023-04-01,いいえ
N1-010,安藤 美穂,訪問看護ステーション1,訪問看護,2001-11-09,2025-04-01,いいえ
N1-011,東 裕子,訪問看護ステーション1,訪問看護,1988-03-14,2012-04-01,いいえ
N1-012,尾崎 恵子,訪問看護ステーション1,訪問看護,1995-07-28,2019-04-01,いいえ
N1-013,内田 修,訪問看護ステーション1,訪問リハビリ,1976-07-13,2002-04-01,はい
N1-014,大野 将,訪問看護ステーション1,訪問リハビリ,1984-03-28,2009-04-01,いいえ
N1-015,杉山 圭,訪問看護ステーション1,訪問リハビリ,1988-08-05,2012-04-01,いいえ
N1-016,丸山 悟,訪問看護ステーション1,訪問リハビリ,1991-12-19,2015-04-01,いいえ
N1-017,今井 聡,訪問看護ステーション1,訪問リハビリ,1994-05-04,2018-04-01,いいえ
N1-018,河野 恵介,訪問看護ステーション1,訪問リハビリ,1997-10-21,2021-04-01,いいえ
N1-019,藤原 学,訪問看護ステーション1,訪問リハビリ,2000-03-07,2024-04-01,いいえ
N1-020,平野 淳,訪問看護ステーション1,訪問リハビリ,2002-07-30,2025-04-01,いいえ
N1-021,辻 達也,訪問看護ステーション1,訪問リハビリ,1990-01-16,2014-04-01,いいえ
N1-022,長田 康平,訪問看護ステーション1,訪問リハビリ,1998-11-03,2022-04-01,いいえ
N1-023,野口 洋子,訪問看護ステーション1,事務,1973-04-20,2000-04-01,はい
N1-024,松井 悦子,訪問看護ステーション1,事務,1981-09-06,2006-04-01,いいえ
N1-025,田口 亜美,訪問看護ステーション1,事務,1986-01-31,2010-04-01,いいえ
N1-026,高木 真理子,訪問看護ステーション1,事務,1990-07-12,2014-04-01,いいえ
N1-027,千葉 知恵,訪問看護ステーション1,事務,1993-11-27,2017-04-01,いいえ
N1-028,岩田 美咲,訪問看護ステーション1,事務,1996-05-15,2020-04-01,いいえ
N1-029,望月 紗希,訪問看護ステーション1,事務,2000-02-03,2024-04-01,いいえ
N2-001,久保 恵子,訪問看護ステーション2,訪問看護,1970-08-14,1998-04-01,はい
N2-002,山口 陽子,訪問看護ステーション2,訪問看護,1980-03-02,2005-04-01,いいえ
N2-003,佐々木 裕子,訪問看護ステーション2,訪問看護,1984-07-19,2009-04-01,いいえ
N2-004,島田 真由美,訪問看護ステーション2,訪問看護,1987-11-08,2011-04-01,いいえ
N2-005,川崎 花子,訪問看護ステーション2,訪問看護,1990-05-24,2014-04-01,いいえ
N2-006,中田 千尋,訪問看護ステーション2,訪問看護,1993-10-01,2017-04-01,いいえ
N2-007,本田 綾,訪問看護ステーション2,訪問看護,1995-02-17,2019-04-01,いいえ
N2-008,大塚 沙織,訪問看護ステーション2,訪問看護,1998-06-30,2022-04-01,いいえ
N2-009,片山 結衣,訪問看護ステーション2,訪問看護,2000-12-05,2024-04-01,いいえ
N2-010,北村 麻衣,訪問看護ステーション2,訪問看護,2002-04-18,2025-04-01,いいえ
N2-011,成田 直美,訪問看護ステーション2,訪問看護,1987-05-09,2011-04-01,いいえ
N2-012,早川 千尋,訪問看護ステーション2,訪問看護,1996-09-22,2020-04-01,いいえ
N2-013,須藤 武,訪問看護ステーション2,訪問リハビリ,1977-09-10,2003-04-01,はい
N2-014,関口 健太,訪問看護ステーション2,訪問リハビリ,1985-01-26,2009-04-01,いいえ
N2-015,宮本 雅也,訪問看護ステーション2,訪問リハビリ,1989-06-13,2013-04-01,いいえ
N2-016,新井 哲也,訪問看護ステーション2,訪問リハビリ,1992-10-29,2016-04-01,いいえ
N2-017,黒田 崇,訪問看護ステーション2,訪問リハビリ,1995-04-07,2019-04-01,いいえ
